Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
29437,7/28/13 7:05,Sunday,Auto,Pedestrian,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.36295,-71.09958,
29479,8/7/13 15:45,Wednesday,Auto,Pedestrian,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,
29525,8/17/13 10:09,Saturday,Auto,Pedestrian,625,Massachusetts Ave,,"625 Massachusetts Ave Cambridge, MA",42.365455,-71.103484,
29542,8/22/13 18:23,Thursday,Auto,Pedestrian,,Massachusetts Ave,DAVENPORT ST," Massachusetts Ave & DAVENPORT ST Cambridge, MA",42.389419,-71.120032,
29544,8/22/13 14:04,Thursday,Auto,Pedestrian,,JFK St,Brattle St," JFK St & Brattle St Cambridge, MA",42.372774,-71.120658,
29554,8/26/13 21:05,Monday,Auto,Pedestrian,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360828,-71.096012,
29591,9/3/13 8:48,Tuesday,Auto,Pedestrian,60,Porter Rd,,"60 Porter Rd Cambridge, MA",42.389403,-71.121671,
29584,9/4/13 18:07,Wednesday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
29599,9/8/13 17:15,Sunday,Auto,Pedestrian,,Cambridge St,Cardinal Medeiros Ave," Cambridge St & Cardinal Medeiros Ave Cambridge, MA",42.372123,-71.088456,
29617,9/9/13 18:01,Monday,Auto,Pedestrian,,Rindge Ave,SARGENT ST," Rindge Ave & SARGENT ST Cambridge, MA",42.393417,-71.132049,
29669,9/23/13 8:00,Thursday,Auto,Pedestrian,,MAIN ST,Vassar St," MAIN ST & Vassar St Cambridge, MA",42.362709,-71.089933,
29672,9/24/13 18:40,Tuesday,Auto,Pedestrian,,Broadway,QUINCY ST," Broadway & QUINCY ST Cambridge, MA",42.374832,-71.114477,
29674,9/25/13 17:38,Wednesday,Auto,Pedestrian,1667,MASSACHUSETTS  AVE BRDG,,"1667 MASSACHUSETTS  AVE BRDG Cambridge, MA",42.369202,-71.110689,
29678,9/25/13 12:00,Wednesday,Auto,Pedestrian,425,Massachusetts Ave,,"425 Massachusetts Ave Cambridge, MA",42.363664,-71.100482,
29682,9/26/13 9:45,Thursday,Auto,Pedestrian,,Brookline St,Franklin St," Brookline St & Franklin St Cambridge, MA",42.362868,-71.102435,
29683,9/26/13 7:28,Thursday,Auto,Pedestrian,,KIRKLAND ST,HOLDEN ST," KIRKLAND ST & HOLDEN ST Cambridge, MA",42.377896,-71.108147,
29701,9/30/13 16:06,Monday,Auto,Pedestrian,,Columbia St,HARVARD SQ," Columbia St & HARVARD SQ Cambridge, MA",42.366993,-71.097861,
29748,10/2/13 13:19,Wednesday,Auto,Pedestrian,,SOMERVILLE AVE,Massachusetts Ave," SOMERVILLE AVE & Massachusetts Ave Cambridge, MA",42.388965,-71.119695,
29921,10/5/13 23:00,Saturday,Auto,Pedestrian,,Massachusetts Ave,PLYMPTON ST," Massachusetts Ave & PLYMPTON ST Cambridge, MA",42.372694,-71.116418,
29778,10/11/13 0:00,Friday,Auto,Pedestrian,,LINE ST,LEONARD AVE," LINE ST & LEONARD AVE Cambridge, MA",42.376318,-71.105368,
29771,10/13/13 17:29,Sunday,Auto,Pedestrian,2055,Massachusetts Ave,,"2055 Massachusetts Ave Cambridge, MA",42.391393,-71.122276,
29784,10/17/13 14:58,Thursday,Auto,Pedestrian,1,White St,,"1 White St Cambridge, MA",42.389238,-71.119527,
29786,10/17/13 20:10,Thursday,Auto,Pedestrian,,Brookline St,Franklin St," Brookline St & Franklin St Cambridge, MA",42.362868,-71.102435,
29789,10/18/13 15:02,Friday,Auto,Pedestrian,,Columbia St,Bishop Allen Dr," Columbia St & Bishop Allen Dr Cambridge, MA",42.364154,-71.099474,
29826,10/24/13 10:15,Thursday,Auto,Pedestrian,,MOUNT AUBURN ST,HOLYOKE ST," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA",42.37197,-71.118574,
29852,10/28/13 10:30,Monday,Auto,Pedestrian,,MAGAZINE ST,Auburn St," MAGAZINE ST & Auburn St Cambridge, MA",42.363987,-71.105712,
29880,11/3/13 14:55,Sunday,Auto,Pedestrian,,Auburn St,PEARL ST," Auburn St & PEARL ST Cambridge, MA",42.36314,-71.1043,
29952,11/19/13 8:29,Tuesday,Auto,Pedestrian,,QUINCY ST,HARVARD ST," QUINCY ST & HARVARD ST Cambridge, MA",42.372305,-71.115147,
29956,11/19/13 15:21,Tuesday,Auto,Pedestrian,,Blackstone St,Western Ave," Blackstone St & Western Ave Cambridge, MA",42.364405,-71.11482,
29961,11/20/13 0:00,Wednesday,Auto,Pedestrian,,Cedar St,NORRIS ST," Cedar St & NORRIS ST Cambridge, MA",42.39474,-71.130831,
29972,11/22/13 17:51,Friday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
29974,11/23/13 9:52,Saturday,Auto,Pedestrian,77,OXFORD AVE,,"77 OXFORD AVE Cambridge, MA",42.378389,-71.155276,
29975,11/24/13 14:15,Sunday,Auto,Pedestrian,,PLEASANT ST,Western Ave," PLEASANT ST & Western Ave Cambridge, MA",42.365079,-71.10695,
29988,11/24/13 14:00,Sunday,Auto,Pedestrian,,Vincent St,Upland Rd," Vincent St & Upland Rd Cambridge, MA",42.386854,-71.125397,
29977,11/25/13 8:00,Monday,Auto,Pedestrian,456,Broadway,,"456 Broadway Cambridge, MA",42.373551,-71.112012,
29990,11/26/13 11:55,Tuesday,Auto,Pedestrian,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,
30006,12/1/13 14:36,Sunday,Auto,Pedestrian,30,Brattle St,,"30 Brattle St Cambridge, MA",42.37314,-71.120664,
30026,12/7/13 13:06,Saturday,Auto,Pedestrian,1920,Massachusetts Ave,,"1920 Massachusetts Ave Cambridge, MA",42.389044,-71.119951,
30040,12/10/13 18:20,Tuesday,Auto,Pedestrian,,Massachusetts Ave,DUNSTER ST," Massachusetts Ave & DUNSTER ST Cambridge, MA",42.373333,-71.118581,
30056,12/12/13 17:30,Thursday,Auto,Pedestrian,,Broadway,Trowbridge Pl," Broadway & Trowbridge Pl Cambridge, MA",42.373196,-71.110836,
30075,12/16/13 21:13,Monday,Auto,Pedestrian,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897,-71.10119,
30085,12/19/13 13:34,Thursday,Auto,Pedestrian,35,OXFORD ST,,"35 OXFORD ST Cambridge, MA",42.379147,-71.116794,
30093,12/22/13 11:23,Sunday,Auto,Pedestrian,66,SHERMAN ST,,"66 SHERMAN ST Cambridge, MA",42.38751,-71.131557,
30098,12/22/13 21:18,Sunday,Auto,Pedestrian,,Beech St,ELM ST," Beech St & ELM ST Cambridge, MA",42.39151,-71.119059,
30104,12/24/13 16:57,Tuesday,Auto,Pedestrian,1274,Massachusetts Ave,,"1274 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,
30112,12/27/13 15:20,Friday,Auto,Pedestrian,,MOUNT AUBURN ST,LOWELL ST," MOUNT AUBURN ST & LOWELL ST Cambridge, MA",42.374852,-71.133045,
30114,12/29/13 17:55,Sunday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
30118,12/30/13 12:53,Monday,Auto,Pedestrian,,MAIN ST,Ames St," MAIN ST & Ames St Cambridge, MA",42.362579,-71.088165,
30137,1/7/14 15:20,Tuesday,Auto,Pedestrian,199,Alewife Brook Pky,,"199 Alewife Brook Pky Cambridge, MA",42.3900223,-71.1421814,
30162,1/15/14 12:43,Wednesday,Auto,Pedestrian,,Broadway,Inman Sq,"Broadway & Inman Sq Cambridge, MA",42.3700714,-71.1029358,
30193,1/24/14 15:01,Friday,Auto,Pedestrian,13,GARDNER RD,,"13 GARDNER RD Cambridge, MA",42.3708878,-71.099884,
31762,2/10/14 9:00,Monday,Auto,Pedestrian,,North Point Blvd,Museum Way,"North Point Blvd & Museum Way Cambridge, MA",42.370369,-71.0708389,
31775,2/12/14 8:50,Wednesday,Taxi,Pedestrian,,MOUNT AUBURN ST,DUNSTER ST,"MOUNT AUBURN ST & DUNSTER ST Cambridge, MA",42.3722534,-71.119339,
31787,2/10/14 18:57,Monday,Auto,Pedestrian,,Cambridge St,SCIARAPPA ST,"Cambridge St & SCIARAPPA ST Cambridge, MA",42.3712311,-71.0814896,
31794,2/13/14 13:40,Thursday,Auto,Pedestrian,,Cardinal Medeiros Ave,Cambridge St,"Cardinal Medeiros Ave & Cambridge St Cambridge, MA",42.3721237,-71.0884552,
31796,2/13/14 15:01,Thursday,Auto,Pedestrian,,Broadway,Crawford St,"Broadway & Crawford St Cambridge, MA",42.3716087,-71.1068192,
31861,2/24/14 21:45,Monday,Auto,Pedestrian,101,DUNSTER ST,,"101 DUNSTER ST Cambridge, MA",42.3704453,-71.1205139,
31891,3/1/14 19:45,Saturday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St,"Massachusetts Ave & Norfolk St Cambridge, MA",42.3644257,-71.1020813,
31904,3/3/14 1:23,Monday,Auto,Pedestrian,,Massachusetts Ave,Brookline St,"Massachusetts Ave & Brookline St Cambridge, MA",42.3640137,-71.101387,
31933,3/14/14 22:30,Friday,Auto,Pedestrian,,Massachusetts Ave,DUDLEY ST,"Massachusetts Ave & DUDLEY ST Cambridge, MA",42.396637,-71.1293869,
31985,4/3/14 20:41,Thursday,Auto,Pedestrian,,Broadway,Columbia St,"Broadway & Columbia St Cambridge, MA",42.3678703,-71.0973587,
31994,3/29/14 21:36,Saturday,Auto,Pedestrian,,Leighton,North Point Blvd,"Leighton & North Point Blvd Cambridge, MA",42.3710289,-71.0729218,
32012,3/29/14 21:36,Tuesday,Auto,Pedestrian,,Leighton,North Point Blvd,"Leighton & North Point Blvd Cambridge, MA",42.3710289,-71.0729218,
32064,4/22/14 20:47,Tuesday,Auto,Pedestrian,,HARVARD ST,QUINCY ST,"HARVARD ST & QUINCY ST Cambridge, MA",42.3723068,-71.1151505,
32069,4/24/14 13:44,Thursday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St,"Massachusetts Ave & Norfolk St Cambridge, MA",42.3644257,-71.1020813,
32070,4/24/14 8:32,Thursday,Auto,Pedestrian,,FIRST ST,Cambridgeside Pl,"FIRST ST & Cambridgeside Pl Cambridge, MA",42.3672295,-71.0777206,
32088,4/30/14 10:41,Wednesday,Auto,Pedestrian,,OXFORD AVE,EVERETT ST,"OXFORD AVE & EVERETT ST Cambridge, MA",42.3798218,-71.1165085,
32104,5/4/14 14:30,Sunday,Auto,Pedestrian,100,Cambridgeside Pl,,"100 Cambridgeside Pl Cambridge, MA",42.3670807,-71.0765686,
32141,5/10/14 16:19,Saturday,Auto,Pedestrian,,Massachusetts Ave,ESSEX ST,"Massachusetts Ave & ESSEX ST Cambridge, MA",42.365078,-71.1031799,
32143,5/9/14 0:00,Friday,Auto,Pedestrian,25,Winter St,,"25 Winter St Cambridge, MA",42.3725128,-71.0804596,
32154,5/12/14 8:40,Monday,Auto,Pedestrian,,GROVE AVE,HURON AVE,"GROVE AVE & HURON AVE Cambridge, MA",42.3822289,-71.1579361,
32176,5/16/14 18:04,Friday,Auto,Pedestrian,485,Massachusetts Ave,,"485 Massachusetts Ave Cambridge, MA",42.3639565,-71.1012878,
32204,5/27/14 7:41,Tuesday,Auto,Pedestrian,,FULKERSON ST,Thorndike Pl,"FULKERSON ST & Thorndike Pl Cambridge, MA",42.3705482,-71.0872345,
32217,5/22/14 7:50,Thursday,Auto,Pedestrian,9,Story St,,"9 Story St Cambridge, MA",42.3739014,-71.1225815,
32248,5/20/14 12:27,Tuesday,Auto,Pedestrian,699,MOUNT AUBURN ST,HOMER AVE,"699 MOUNT AUBURN ST Cambridge, MA",42.3747215,-71.1494598,
32259,6/2/14 16:33,Monday,Auto,Pedestrian,,Cambridge St,Second St,"Cambridge St & Second St Cambridge, MA",42.3708611,-71.078598,
32273,6/5/14 17:43,Thursday,Auto,Pedestrian,1735,Massachusetts Ave,,"1735 Massachusetts Ave Cambridge, MA",42.3843346,-71.1194534,
32337,6/26/14 20:50,Thursday,Auto,Pedestrian,,GARDEN ST,Massachusetts Ave,"GARDEN ST & Massachusetts Ave Cambridge, MA",42.3754883,-71.1199188,
32352,6/30/14 14:10,Monday,Auto,Pedestrian,,JFK St,MOUNT AUBURN ST,"JFK St & MOUNT AUBURN ST Cambridge, MA",42.3725662,-71.1201477,
32363,6/28/14 10:33,Saturday,Auto,Pedestrian,,Portland St,Washington St,"Portland St & Washington St Cambridge, MA",42.363884,-71.0931549,
32381,7/3/14 22:30,Thursday,Auto,Pedestrian,,Cambridge St,Antrim St,"Cambridge St & Antrim St Cambridge, MA",42.3737793,-71.1012344,
32409,7/14/14 14:25,Monday,Auto,Pedestrian,,Concord Ave,FAWCETT ST,"Concord Ave & FAWCETT ST Cambridge, MA",42.3891563,-71.1459961,
32439,7/16/14 22:28,Wednesday,Auto,Pedestrian,,River St,MEMORIAL DR,"River St & MEMORIAL DR Cambridge, MA",42.3614616,-71.1159592,
32447,7/16/14 22:46,Wednesday,Bicycle,Pedestrian,,Western Ave,MEMORIAL DR,"Western Ave & MEMORIAL DR Cambridge, MA",42.3643036,-71.1160736,
32484,7/31/14 3:10,Thursday,Auto,Pedestrian,,Massachusetts Ave,Peabody St,"Massachusetts Ave & Peabody St Cambridge, MA",42.3740692,-71.1188354,
32492,7/31/14 3:10,Thursday,Auto,Pedestrian,,Massachusetts Ave,Peabody St,"Massachusetts Ave & Peabody St Cambridge, MA",42.3740692,-71.1188354,
32513,8/10/14 20:56,Sunday,Auto,Pedestrian,,ELM ST,Cambridge St,"ELM ST & Cambridge St Cambridge, MA",42.3730164,-71.0953445,
32533,8/13/14 10:21,Wednesday,Auto,Pedestrian,1146,Cambridge St,Norfolk St,"1146 Cambridge St Cambridge, MA",42.3731422,-71.0963135,
32554,8/16/14 19:18,Saturday,Auto,Pedestrian,,Broadway,ELLERY ST,"Broadway & ELLERY ST Cambridge, MA",42.3727531,-71.109726,
32578,8/21/14 22:54,Thursday,Auto,Pedestrian,,Cambridge St,LEONARD AVE,"Cambridge St & LEONARD AVE Cambridge, MA",42.3743858,-71.1059113,
32583,8/23/14 17:42,Saturday,Auto,Pedestrian,,Massachusetts Ave,DAVENPORT ST,"Massachusetts Ave & DAVENPORT ST Cambridge, MA",42.3894196,-71.1200333,
32597,8/28/14 11:49,Thursday,Auto,Pedestrian,,GREEN ST,Western Ave,"GREEN ST & Western Ave Cambridge, MA",42.3652687,-71.1050262,
32601,8/29/14 10:19,Friday,Auto,Pedestrian,615,Concord Ave,,"615 Concord Ave Cambridge, MA",42.3891411,-71.1459351,
32687,9/15/14 9:27,Monday,Truck,Pedestrian,,Putnam Ave,Magee St,"Putnam Ave & Magee St Cambridge, MA",42.366394,-71.1135559,
32723,9/22/14 17:35,Monday,Auto,Pedestrian,,KIRKLAND ST,QUINCY ST,"KIRKLAND ST & QUINCY ST Cambridge, MA",42.3766365,-71.1140823,
32738,9/25/14 7:15,Thursday,Auto,Pedestrian,100,Landsdowne St,,"100 Landsdowne St Cambridge, MA",42.3600845,-71.1013489,
32858,10/26/14 20:51,Sunday,Auto,Pedestrian,,OXFORD AVE,Wendell St,"OXFORD AVE & Wendell St Cambridge, MA",42.3815651,-71.1163177,
32870,11/1/14 19:00,Saturday,Auto,Pedestrian,,IRVING ST,KIRKLAND ST,"IRVING ST & KIRKLAND ST Cambridge, MA",42.3773613,-71.1106415,
32892,9/5/14 4:09,Friday,Auto,Pedestrian,,Massachusetts Ave,EVERETT ST,"Massachusetts Ave & EVERETT ST Cambridge, MA",42.3799896,-71.1199265,
32903,9/18/14 17:47,Thursday,Auto,Pedestrian,,PROSPECT ST,Hampshire St,"PROSPECT ST & Hampshire St Cambridge, MA",42.3722038,-71.0989761,
32910,11/6/14 9:30,Thursday,Auto,Pedestrian,60,Vassar St,,"60 Vassar St Cambridge, MA",42.3607597,-71.0936432,
32947,10/10/14 12:00,Friday,Auto,Pedestrian,100,Landsdowne St,,"100 Landsdowne St Cambridge, MA",42.3600845,-71.1013489,
32958,10/2/14 21:55,Thursday,Auto,Pedestrian,,MOUNT AUBURN ST,Sparks St,"MOUNT AUBURN ST & Sparks St Cambridge, MA",42.3746986,-71.1305847,
32995,10/20/14 6:50,Monday,Auto,Pedestrian,,Albany St,Portland St,"Albany St & Portland St Cambridge, MA",42.3617287,-71.0939789,
32996,10/20/14 11:47,Monday,Auto,Pedestrian,,Franklin St,MAGAZINE ST,"Franklin St & MAGAZINE ST Cambridge, MA",42.3644981,-71.1051483,
33002,10/23/14 7:24,Thursday,Auto,Pedestrian,,Binney St,Sixth St,"Binney St & Sixth St Cambridge, MA",42.3661499,-71.0860748,
33007,10/24/14 19:49,Friday,Auto,Pedestrian,,Windsor St,Broadway,"Windsor St & Broadway Cambridge, MA",42.3671074,-71.0954132,
33032,11/14/14 4:41,Friday,Auto,Pedestrian,,Massachusetts Ave,Vassar St,"Massachusetts Ave & Vassar St Cambridge, MA",42.3601532,-71.0948792,
33056,11/20/14 0:20,Thursday,Auto,Pedestrian,,Brattle St,MOUNT AUBURN ST,"Brattle St & MOUNT AUBURN ST Cambridge, MA",42.3752823,-71.1456985,
33071,11/22/14 18:12,Saturday,Auto,Pedestrian,,MOUNT AUBURN ST,DUNSTER ST,"MOUNT AUBURN ST & DUNSTER ST Cambridge, MA",42.3722534,-71.119339,
33078,11/20/14 0:20,Thursday,Auto,Pedestrian,,Brattle St,MOUNT AUBURN ST,"Brattle St & MOUNT AUBURN ST Cambridge, MA",42.3752823,-71.1456985,
33087,11/25/14 18:32,Tuesday,Auto,Pedestrian,,GARDEN ST,Shepard St,"GARDEN ST & Shepard St Cambridge, MA",42.3801155,-71.125061,
33096,12/1/14 17:15,Monday,Auto,Pedestrian,,Third St,Thorndike St,"Third St & Thorndike St Cambridge, MA",42.369648,-71.080162,
33102,12/1/14 17:15,Monday,Auto,Pedestrian,,Third St,Thorndike St,"Third St & Thorndike St Cambridge, MA",42.369648,-71.080162,
33123,12/5/14 23:48,Friday,Auto,Pedestrian,,Albany St,Massachusetts Ave,"Albany St & Massachusetts Ave Cambridge, MA",42.3608284,-71.0960159,
33129,12/11/14 11:40,Thursday,Auto,Pedestrian,,Massachusetts Ave,LEE ST,"Massachusetts Ave & LEE ST Cambridge, MA",42.3678322,-71.1076965,
33137,12/2/14 17:50,Tuesday,Auto,Pedestrian,330,MOUNT AUBURN ST,Channing St,"330 MOUNT AUBURN ST Cambridge, MA",42.3749542,-71.1347198,
33144,12/4/14 23:00,Thursday,Auto,Pedestrian,,Cambridge St,Third St,"Cambridge St & Third St Cambridge, MA",42.3710213,-71.0798492,
33154,12/9/14 6:15,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Landsdowne St,"Massachusetts Ave & Landsdowne St Cambridge, MA",42.3617439,-71.0975571,
33156,12/9/14 14:45,Tuesday,Auto,Pedestrian,,Vassar St,Massachusetts Ave,"Vassar St & Massachusetts Ave Cambridge, MA",42.3601532,-71.0948792,
33157,12/9/14 18:04,Tuesday,Auto,Pedestrian,,Cambridge St,Willow St,"Cambridge St & Willow St Cambridge, MA",42.3725586,-71.0918198,
33162,12/10/14 14:18,Wednesday,Auto,Pedestrian,,HURON AVE,GROVE AVE,"HURON AVE & GROVE AVE Cambridge, MA",42.3822289,-71.1579361,
33164,12/10/14 20:54,Wednesday,Auto,Pedestrian,,Aberdeen Ct,MOUNT AUBURN ST,"Aberdeen Ct & MOUNT AUBURN ST Cambridge, MA",42.3752632,-71.1458282,
33170,12/16/14 9:33,Tuesday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr,"PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.3663445,-71.103157,
33176,12/13/14 21:48,Saturday,Auto,Pedestrian,,JFK St,Winthrop St,"JFK St & Winthrop St Cambridge, MA",42.3721542,-71.120491,
33205,12/18/14 8:45,Thursday,Auto,Pedestrian,,FIRST ST,Thorndike St,"FIRST ST & Thorndike St Cambridge, MA",42.3692551,-71.0772476,
33234,12/16/14 3:23,Tuesday,Auto,Pedestrian,,HARVARD ST,LEE ST,"HARVARD ST & LEE ST Cambridge, MA",42.3697624,-71.1058502,
