Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
24810,9/23/10 16:27,Thursday,Auto,Pedestrian,,Massachusetts Ave,Hadley St," Massachusetts Ave & Hadley St Cambridge, MA",42.391158,-71.122802,
24811,9/23/10 17:06,Thursday,Auto,Pedestrian,,KINNAIRD ST,HANCOCK ST," KINNAIRD ST & HANCOCK ST Cambridge, MA",42.366803,-71.110418,
24855,10/1/10 12:56,Friday,Auto,Pedestrian,,Brattle St,FARWELL PL," Brattle St & FARWELL PL Cambridge, MA",42.374426,-71.121896,
24858,10/1/10 18:59,Friday,Auto,Pedestrian,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897,-71.10119,
24882,10/5/10 12:30,Tuesday,Auto,Pedestrian,84-1,Massachusetts Ave,,"84-1 Massachusetts Ave Cambridge, MA",42.359339,-71.093922,
24884,10/5/10 17:16,Tuesday,Auto,Pedestrian,,MASON ST,PHILLIPS PL," MASON ST & PHILLIPS PL Cambridge, MA",42.376261,-71.123608,
24895,10/6/10 20:58,Wednesday,Auto,Pedestrian,3,EXETER PARK,,"3 EXETER PARK Cambridge, MA",42.384959,-71.11864,
24906,10/8/10 8:10,Friday,Auto,Pedestrian,,Binney St,Kendall Sq," Binney St & Kendall Sq Cambridge, MA",42.362703,-71.089944,
24914,10/10/10 16:30,Sunday,Auto,Pedestrian,,MOUNT AUBURN ST,ELIOT ST," MOUNT AUBURN ST & ELIOT ST Cambridge, MA",42.372869,-71.1214,
24948,10/18/10 16:08,Monday,Auto,Pedestrian,,Rindge Ave,MIDDLESEX ST," Rindge Ave & MIDDLESEX ST Cambridge, MA",42.393382,-71.131032,
24989,10/23/10 22:50,Saturday,Auto,Pedestrian,,Massachusetts Ave,PLYMPTON ST," Massachusetts Ave & PLYMPTON ST Cambridge, MA",42.372694,-71.116418,
24982,10/25/10 22:50,Monday,Auto,Pedestrian,,Brattle St,Church St," Brattle St & Church St Cambridge, MA",42.37395,-71.121481,
25002,10/28/10 8:29,Thursday,Auto,Pedestrian,,HURON AVE,GURNEY ST," HURON AVE & GURNEY ST Cambridge, MA",42.381226,-71.138323,
25010,10/29/10 20:10,Friday,Auto,Pedestrian,99,MOUNT AUBURN ST,,"99 MOUNT AUBURN ST Cambridge, MA",42.372852,-71.120617,
25026,10/30/10 9:00,Saturday,Auto,Pedestrian,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,
25049,11/8/10 8:00,Monday,Auto,Pedestrian,,Bishop Allen Dr,Norfolk St," Bishop Allen Dr & Norfolk St Cambridge, MA",42.365231,-71.101285,
25054,11/9/10 18:01,Tuesday,Auto,Pedestrian,,Walden St,Richdale Ave," Walden St & Richdale Ave Cambridge, MA",42.388942,-71.125,
25066,11/13/10 3:00,Saturday,Auto,Pedestrian,,Massachusetts Ave,Inman St," Massachusetts Ave & Inman St Cambridge, MA",42.36659,-71.10568,
25075,11/16/10 6:08,Tuesday,Auto,Pedestrian,575,Massachusetts Ave,,"575 Massachusetts Ave Cambridge, MA",42.364881,-71.102534,
25079,11/17/10 7:54,Wednesday,Auto,Pedestrian,,Broadway,Clark St," Broadway & Clark St Cambridge, MA",42.366648,-71.094246,
25100,11/22/10 12:59,Monday,Auto,Pedestrian,178,Alewife Brook Pky,,"178 Alewife Brook Pky Cambridge, MA",42.392001,-71.141029,
